,id,company_id,typ_id,contact_time,date,result_id
0,439,Alwadi,,3,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
1,440,Alwadi,,0,NaT,HATIRLATMA VE SORUYA CEVAP VERME
2,890,Alwadi,,,54232263,FIYAT YÜKSEK
3,891,Alwadi,,,54232263,HATIRLATMA VE SORUYA CEVAP VERME
4,892,Alwadi,,,54232263,HATIRLATMA VE SORUYA CEVAP VERME
5,893,Alwadi,,,hi,HATIRLATMA VE SORUYA CEVAP VERME
6,894,Alwadi,,,hi,HATIRLATMA VE SORUYA CEVAP VERME
7,895,Alwadi,,,hi,HATIRLATMA VE SORUYA CEVAP VERME
8,902,Alwadi in Libya,,,2022-12-19,CEVAP YOK
9,903,Alwadi in Libya,,,2023-4-28,ZIYARETE GELEBİLİR
10,904,Alwadi in Libya,,,2023-4-28,KATALOG WP
11,905,Alwadi in Libya,,,2023-4-28,SONRA ARA
12,444,"New Aluminium
",,3,2022-12-17 00:00:00,ŞİMDİLİK OLMUYOR
13,445,"New Aluminium
",,1,2022-12-30 00:00:00,ŞİMDİLİK OLMUYOR
14,446,"New Aluminium
",,0,2023-02-21,ZIYARETE GELEBİLİR
15,447,sama,,2,2022-12-17 00:00:00,KATALOG WP 
16,448,sama,,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
17,449,sama,,5,2023-01-07 00:00:00,CEVAP YOK  WP
18,450,شركة بابل,,2,2022-12-17 00:00:00,KATALOG WP 
19,451,شركة بابل,,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
20,452,شركة بابل,,5,2023-01-07 00:00:00,CEVAP YOK  WP
21,453,al jser ,,2,2022-12-17 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
22,454,al jser ,,3,2022-12-30 00:00:00,İLGİLENMİYOR
23,455,Newbond,,3,2022-12-17 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
24,456,Newbond,,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
25,457,Alferrganı,,2,2022-12-17 00:00:00,nan
26,458,Alferrganı,,3,2022-12-19 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
27,459,Orhan bey,,3,2022-12-19 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
28,460,Orhan bey,,4,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
29,461,Orhan bey,,5,2023-01-17 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
30,462,Orhan bey,,6,2023-01-30 00:00:00,CEVAP YOK  WP
31,463,Orhan bey,,0,2023-02-20,CEVAP YOK  WP
32,464,HAMAD BIN SALEM ALAZZANI TRADING EST.,,3,2022-12-19 00:00:00,İLGİLENMİYOR
33,465,HAMAD BIN SALEM ALAZZANI TRADING EST.,,5,2023-01-30 00:00:00,CEVAP YOK
34,466,"Sohel gazi alduwalia
",,3,2022-12-19 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
35,467,"Sohel gazi alduwalia
",,6,2022-12-30 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
36,468,"Sohel gazi alduwalia
",,7,2023-01-05 00:00:00,HATIRLATMA VE SORUYA CEVAP VERME
37,469,"Sohel gazi alduwalia
",,8,2023-01-30 00:00:00,CEVAP YOK  WP
38,470,"Sohel gazi alduwalia
",,0,2023-02-20,CEVAP YOK  WP
39,471,"Sohel gazi alduwalia
",,0,2023-03-09,CEVAP YOK  WP
40,472,Mitro-Plast Sh. P. K.,,3,2022-12-19 00:00:00,CEVAP YOK KATALOG  WP
